,Component Name,Sample,Intensity,Cohort Name,Formula,Name,Parent Formula,Isotopologue,Metab,Sample Number,Replicate,Background Sample,Label,frag_keys,Background Corrected,Background Corrected with zero,NA Corrected,NA Corrected with zero,Pool_total,Fractional enrichment
21,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,15100,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,156,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",8688.0,8688.0,-4520.29,0.0,317497.6,0.0
22,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,3470,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,156,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-49.0,0.0,-339.4,0.0,317497.6,0.0
23,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,335,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,156,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-265.0,0.0,-266.85,0.0,317497.6,0.0
24,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,134,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,156,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-132.0,0.0,-129.06,0.0,317497.6,0.0
25,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162,175000,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,162,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",175000.0,175000.0,182770.0,182770.0,413403.0,0.4421109667805991
26,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162,29400,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,162,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",22988.0,22988.0,15983.5,15983.5,413403.0,0.0386632414375319
27,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162,91300,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,162,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",87781.0,87781.0,88964.24,88964.24,413403.0,0.21519979293812577
28,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162,95300,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,162,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",94700.0,94700.0,93802.43,93802.43,413403.0,0.2269031187485335
29,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162,33200,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,162,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",32934.0,32934.0,31882.83,31882.83,413403.0,0.07712288009520976
30,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,286000,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,164,4,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",286000.0,286000.0,298698.4,298698.4,298698.4,1.0
