Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C13N15-label-2-3,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
C13N15-label-3-1,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
C13N15-label-3-2,Creatinine,0.0,0.0,12950.19,0.0,15331.21,8273.219,0.0,9558.979,8469.05,8352.313,0.0,0.0,0.0,0.0,0.0,12870.24,0.0,0.0,11388.24,14413.41,0.0,14951.06,0.0,18282.59,C4H7N3O
C13N15-label-3-3,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
C13N15-label-4-1,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
C13N15-label-4-2,Creatinine,0.0,2912.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
C12 PARENT,L-Proline,2312758.0,1183321.0,1595773.0,1244100.0,4841346.0,4949881.0,4278124.0,1565695.0,1991480.0,1935784.0,1181517.0,839109.4,927129.2,5188128.0,5831372.0,5988454.0,2141006.0,1753379.0,1537402.0,636333.4,812454.9,1797934.0,3512186.0,3137273.0,C5H9NO2
C13-label-1,L-Proline,111809.5,64360.86,78622.59,38993.58,401265.9,356347.3,306978.2,80846.13,95903.84,107211.1,40388.51,57924.3,54159.3,342516.2,380594.1,367763.9,115577.1,118091.0,61803.63,54281.07,40668.1,112843.2,290186.4,273379.1,C5H9NO2
C13-label-2,L-Proline,22587.88,23595.05,40691.25,25223.7,459536.0,445158.3,423291.7,0.0,23841.26,4211.35,0.0,0.0,0.0,6238.547,20393.23,8793.158,0.0,0.0,4077.505,0.0,2992.687,0.0,92012.37,92763.49,C5H9NO2
C13-label-3,L-Proline,0.0,0.0,0.0,0.0,86116.34,100284.5,73612.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6332.709,19766.6,0.0,297584.2,302875.8,C5H9NO2
