Component Name,Formula,Unlabeled Fragment,Isotopic Tracer,Parent Formula,Isotopologue,Metab
Lactate 90/90,C3H5O3,Lactate 89/89,C13,C3H5O3,M+1,Lactate
Lactate 91/91,C3H5O3,Lactate 89/89,C13,C3H5O3,M+2,Lactate
Lactate 92/92,C3H5O3,Lactate 89/89,C13,C3H5O3,M+3,Lactate
Aspartate 132/115,C4H3O4,Aspartate 132/115,C13,C4H6NO4,M+0,Aspartate
Aspartate 133/116,C4H3O4,Aspartate 132/115,C13,C4H6NO4,M+1,Aspartate
Aspartate 134/117,C4H3O4,Aspartate 132/115,C13,C4H6NO4,M+2,Aspartate
Aspartate 135/118,C4H3O4,Aspartate 132/115,C13,C4H6NO4,M+3,Aspartate
Aspartate 136/119,C4H3O4,Aspartate 132/115,C13,C4H6NO4,M+4,Aspartate
DHAP 169/97,PO4H2,DHAP 169/97,C13,C3H6O6P,M+0,DHAP
DHAP 170/97,PO4H2,DHAP 169/97,C13,C3H6O6P,M+1,DHAP
DHAP 171/97,PO4H2,DHAP 169/97,C13,C3H6O6P,M+2,DHAP
DHAP 172/97,PO4H2,DHAP 169/97,C13,C3H6O6P,M+3,DHAP
3PG 185/79,PO3,3PG 185/79,C13,C3H6O7P,M+0,3PG
3PG 186/79,PO3,3PG 185/79,C13,C3H6O7P,M+1,3PG
3PG 187/79,PO3,3PG 185/79,C13,C3H6O7P,M+2,3PG
3PG 188/79,PO3,3PG 185/79,C13,C3H6O7P,M+3,3PG
2PG 185/79,PO3,2PG 185/79,C13,C3H6O7P,M+0,2PG
2PG 186/79,PO3,2PG 185/79,C13,C3H6O7P,M+1,2PG
2PG 187/79,PO3,2PG 185/79,C13,C3H6O7P,M+2,2PG
2PG 188/79,PO3,2PG 185/79,C13,C3H6O7P,M+3,2PG
PEP 167/79,PO3,PEP 167/79,C13,C3H4O6P,M+0,PEP
PEP 168/79,PO3,PEP 167/79,C13,C3H4O6P,M+1,PEP
PEP 169/79,PO3,PEP 167/79,C13,C3H4O6P,M+2,PEP
PEP 170/79,PO3,PEP 167/79,C13,C3H4O6P,M+3,PEP
"F1,6P 339/97",PO4H2,"F1,6P 339/97",C13,C6H13O12P2,M+0,"F1,6P"
"F1,6P 340/97",PO4H2,"F1,6P 339/97",C13,C6H13O12P2,M+1,"F1,6P"
"F1,6P 341/97",PO4H2,"F1,6P 339/97",C13,C6H13O12P2,M+2,"F1,6P"
"F1,6P 342/97",PO4H2,"F1,6P 339/97",C13,C6H13O12P2,M+3,"F1,6P"
"F1,6P 343/97",PO4H2,"F1,6P 339/97",C13,C6H13O12P2,M+4,"F1,6P"
"F1,6P 344/97",PO4H2,"F1,6P 339/97",C13,C6H13O12P2,M+5,"F1,6P"
"F1,6P 345/97",PO4H2,"F1,6P 339/97",C13,C6H13O12P2,M+6,"F1,6P"
Glycerol 3P 171/79,PO3,Glycerol 3P 171/79,C13,C3H8O6P,M+0,Glycerol 3P
Glycerol 3P 172/79,PO3,Glycerol 3P 171/79,C13,C3H8O6P,M+1,Glycerol 3P
Glycerol 3P 173/79,PO3,Glycerol 3P 171/79,C13,C3H8O6P,M+2,Glycerol 3P
Glycerol 3P 174/79,PO3,Glycerol 3P 171/79,C13,C3H8O6P,M+3,Glycerol 3P
Glutamine 145/127,C5H7N2O2,Glutamine 145/127,C13,C5H9N2O3,M+0,Glutamine
Glutamine 146/128,C5H7N2O2,Glutamine 145/127,C13,C5H9N2O3,M+1,Glutamine
Glutamine 147/129,C5H7N2O2,Glutamine 145/127,C13,C5H9N2O3,M+2,Glutamine
Glutamine 148/130,C5H7N2O2,Glutamine 145/127,C13,C5H9N2O3,M+3,Glutamine
Glutamine 149/131,C5H7N2O2,Glutamine 145/127,C13,C5H9N2O3,M+4,Glutamine
Glutamine 150/132,C5H7N2O2,Glutamine 145/127,C13,C5H9N2O3,M+5,Glutamine
Taurine 124/80,O3S,Taurine 124/80,C13,C2H6NO3S,M+0,Taurine
Glucose 179/179,C6H11O6,Glucose 179/179,C13,C6H11O6,M+0,Glucose
Glucose 179/89,C3H5O3,Glucose 179/89,C13,C6H11O6,M+0,Glucose
Alanine 91/91,C3H8NO2,Alanine 91/91,C13,C3H8NO2,M+1,Alanine 
Alanine 92/92,C3H8NO2,Alanine 92/92,C13,C3H8NO2,M+2,Alanine 
Alanine 93/93,C3H8NO2,Alanine 93/93,C13,C3H8NO2,M+3,Alanine 
Alanine 90/90,C3H8NO2,Alanine 90/90,C13,C3H8NO2,M+0,Alanine 
Urea 61/61,CH5N2O,Urea 61/61,C13,CH5N2O,M+0,Urea
Urea 62/62,CH5N2O,Urea 61/61,C13,CH5N2O,M+1,Urea
Carbamoyl Phosphate 140/79,PO3,Carbamoyl Phosphate 140/79,C13,CH2NO5P,M+0,Carbamoyl Phosphate
Carbamoyl Phosphate 141/79,PO3,Carbamoyl Phosphate 140/79,C13,CH2NO5P,M+1,Carbamoyl Phosphate
HexoseP 259/97,PO4H2,HexoseP 259/97,C13,C6H13O9P,M+0,HexoseP
HexoseP 260/97,PO4H2,HexoseP 259/97,C13,C6H13O9P,M+1,HexoseP
HexoseP 261/97,PO4H2,HexoseP 259/97,C13,C6H13O9P,M+2,HexoseP
HexoseP 262/97,PO4H2,HexoseP 259/97,C13,C6H13O9P,M+3,HexoseP
HexoseP 263/97,PO4H2,HexoseP 259/97,C13,C6H13O9P,M+4,HexoseP
HexoseP 264/97,PO4H2,HexoseP 259/97,C13,C6H13O9P,M+5,HexoseP
HexoseP 265/97,PO4H2,HexoseP 259/97,C13,C6H13O9P,M+6,HexoseP
glucose 179/179,C6H11O6,glucose 179/179,C13,C6H11O6,M+0,glucose
glucose 180/180,C6H11O6,glucose 179/179,C13,C6H11O6,M+1,glucose
glucose 181/181,C6H11O6,glucose 179/179,C13,C6H11O6,M+2,glucose
glucose 182/182,C6H11O6,glucose 179/179,C13,C6H11O6,M+3,glucose
glucose 183/183,C6H11O6,glucose 179/179,C13,C6H11O6,M+4,glucose
glucose 184/184,C6H11O6,glucose 179/179,C13,C6H11O6,M+5,glucose
glucose 185/185,C6H11O6,glucose 179/179,C13,C6H11O6,M+6,glucose
